"HolderAddress","Quantity","PendingBalanceUpdate"
"0xfb49a2434a772480416a7d470c60719cdf4c22e8","300","No"
"0x59fa20c434e38c08e05c93578cf6180f8716eb9c","106","No"
"0xdedbc72e7e610235421a55ced1d2277409320faf","100","No"
"0x445c7460aa27bf507dd23848af3f34208e1a365c","54","No"
"0x6dcbd8e866e2586c416d3e4a5b2e422f90e9e5a1","52","No"
"0x10cb5603ce715dfe48ef657adf255a2cd62364e2","50","No"
"0x18925488f1a734eab7f1ca3c9debb063d68ab9af","50","No"
"0x281c63f05c75901a8e2d5980169d3c0d856603d4","50","No"
"0x426e61adcf19ff22e328d85929b252f03ff5f195","50","No"
"0x7acd7c3f8128bdd1b32557f0ed5ff3c422e146f7","50","No"
"0xc12d0ff3aa9c14940a8ba4ff83a1c54b74c4d4e7","50","No"
"0xc5698707af5fd5f6f95adc5d17eea70126278eec","50","No"
"0xc60cdc8222d0f857b17de5a9060e21155818b349","50","No"
"0xcf39b58d76d41fd076476e4249c1e4a321423c3f","50","No"
"0xeaf015ef08271df12aae87f818bc4ab44aa491fb","50","No"
"0x2fc866646e15868e67a57c6474e9d14c8d7e7318","47","No"
"0x82419d74a363aaa0cad73f7342ccf1bd50e56839","45","No"
"0x3837c1afe017696b0b66224d2de213c4e1651ca6","34","No"
"0xe085ce1405cce26dd73899c034605062d40958f1","33","No"
"0x12df99e6326597717f37405f9855d018363e5ea1","32","No"
"0x1ae483291b9f999632c19a3b234598148a02b4f6","30","No"
"0x5203569263a3b5b447ba639858a9e9768bb7d147","30","No"
"0x646629f7363b26dac072238a77ee5e462e2b0097","30","No"
"0xb31650a68d79164afa7141ffabe288261a27c12e","30","No"
"0xbd75d56c9c3b146b9b1f23afb898680d48641850","29","No"
"0x80a711d2598d5c22704aab78977663a86432638a","23","No"
"0xdd0199261ccaa04ec85b8463f22997bf30a5a174","23","No"
"0x273ab917552627a8e90c57506105a7841c661dba","22","No"
"0xc39da4d109b30b7f0a3e1d383acb528488a3fe8a","22","No"
"0x65375f91a2159e472a9f3df8884dd94c5d697703","21","No"
"0x66143651495a1ccbfd2f708af8336c580935349a","21","No"
"0x7da93c40324089cbf5e41bbd2f89cfb97641ddad","21","No"
